id,iters,subiters,runtime,cviolation,rank
1,4,136,0.052873849868774414,2.1276108341794497e-7,9
2,4,222,0.027772903442382812,2.9806062684656354e-7,10
3,4,273,0.03111410140991211,6.190644121772948e-7,8
4,4,198,0.024899005889892578,6.628301179034679e-7,10
5,4,264,0.03183412551879883,9.992143397141717e-7,9
6,4,98,0.019006013870239258,2.8305381327697887e-7,10
7,6,371,0.04298710823059082,9.123523341258988e-7,7
8,4,272,0.03207993507385254,4.077929816048709e-7,10
9,5,246,0.03253316879272461,2.508750345242561e-7,9
10,4,239,0.02901601791381836,1.4673402048970274e-7,7
11,4,252,0.03183412551879883,1.560817528556413e-7,9
12,4,404,0.04024100303649902,7.787017537452812e-7,8
13,4,183,0.03774285316467285,5.184910634170592e-7,10
14,4,209,0.02647709846496582,4.833415587768286e-7,9
15,4,234,0.027676105499267578,6.976620703369463e-7,9
16,6,433,0.04681587219238281,5.111156617942925e-7,7
17,4,201,0.026462078094482422,1.9646820526020292e-7,9
18,4,107,0.0192720890045166,1.576167774075543e-7,10
19,4,150,0.025070905685424805,1.6365334687407085e-7,10
20,4,240,0.028352975845336914,6.718808478467508e-7,9
