id,iters,subiters,runtime,cviolation,rank
1,7,3359,1.2981109619140625,2.5079339316391724e-7,2
2,5,5450,0.5380489826202393,7.63548147375559e-7,3
3,10,3262,0.4364290237426758,1.5465597513752982e-7,2
4,8,4589,1.4732739925384521,3.412588327478261e-7,2
5,8,4755,0.5313448905944824,9.140007541930117e-7,3
6,7,2507,0.5938680171966553,1.8159662928951548e-7,2
7,9,6409,1.7171578407287598,5.353602645641331e-7,3
8,10,3150,0.5689990520477295,4.43701370755889e-7,3
9,10,2811,0.8316240310668945,5.370123439263352e-7,2
10,5,2478,0.3102750778198242,3.372577914717567e-7,2
11,7,6695,0.6349420547485352,2.2876056249288013e-7,3
12,9,5906,0.5921649932861328,6.188100840631705e-7,3
13,10,18699,1.5956079959869385,6.430972483428832e-7,3
14,5,3340,0.3591609001159668,4.7059946339800263e-7,3
15,7,6705,3.29036283493042,9.260981492786868e-8,3
16,7,8290,3.754525899887085,6.969180503801908e-7,3
17,8,9657,1.1005468368530273,6.575641497974516e-7,3
18,6,3469,1.5339269638061523,7.061959177434574e-7,2
19,4,6661,0.5964260101318359,6.557841238929996e-7,3
20,9,8903,4.422960996627808,6.450850413841636e-7,3
