id,iters,subiters,runtime,cviolation,rank
1,4,138,0.038971900939941406,1.685329618084097e-7,3
2,4,136,0.03912091255187988,8.554409713923405e-8,4
3,4,185,0.04526209831237793,2.589245053918887e-7,4
4,4,193,0.048094987869262695,1.2939837601422255e-7,4
5,4,284,0.07391119003295898,3.330672022627823e-7,3
6,4,143,0.04062819480895996,7.333967122491458e-8,4
7,4,169,0.04355287551879883,1.1876665984011936e-7,4
8,4,200,0.047438859939575195,1.301370495809806e-7,3
9,4,253,0.05484199523925781,3.3338966964890915e-7,3
10,4,172,0.0432741641998291,1.401494622577104e-7,3
11,4,216,0.057359933853149414,1.971690899438272e-7,3
12,4,141,0.03992891311645508,1.5445175649553278e-7,4
13,4,145,0.04134511947631836,9.20368945500627e-8,4
14,4,183,0.05062699317932129,1.709976320540818e-7,3
15,4,173,0.04423403739929199,1.700657357162072e-7,3
16,4,725,0.1357250213623047,3.590659440888544e-7,3
17,4,363,0.07622504234313965,4.1367960434968154e-7,3
18,4,168,0.0410609245300293,1.1040259639827354e-7,4
19,4,154,0.03880000114440918,2.574230544283296e-7,3
20,4,217,0.06675314903259277,1.6968033023090356e-7,4
