id,iters,subiters,runtime,cviolation,rank
1,4,9594,2.27458119392395,9.902197675160096e-7,8
2,5,12959,3.0146830081939697,7.308613376721951e-7,8
3,5,21276,4.9097089767456055,3.367096255146862e-7,7
4,4,21517,5.011268138885498,8.692836033219464e-7,7
5,5,15000,3.5387580394744873,9.2777025884061e-7,6
6,7,35318,8.225518226623535,6.573605588755527e-7,6
7,5,13370,3.173780918121338,1.732685905864173e-7,7
8,5,21194,4.988260984420776,3.9717587085874584e-7,7
9,4,16278,3.7276878356933594,3.634713117151023e-7,7
10,5,28801,6.638450860977173,4.015767203213727e-7,7
11,4,28273,6.417779922485352,7.777188990587547e-7,7
12,7,26908,6.164432048797607,3.463049260687967e-7,8
13,5,22962,5.30475115776062,5.950347912175857e-7,7
14,5,36158,8.268570184707642,2.5265805092544724e-7,8
15,4,40661,9.181740999221802,6.169592126070711e-7,8
16,5,22055,5.104051828384399,5.984698887573359e-7,8
17,5,9168,2.1402809619903564,7.929274694618016e-7,7
18,5,12885,2.973574161529541,7.687424741220639e-7,8
19,4,27265,6.2518298625946045,3.734948244016323e-7,7
20,5,14061,3.2727320194244385,4.212932864788854e-7,7
