id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,0.0,4,4,0.0001289844512939453
2,-4.5,-5.0,0.0,0.0,4,4,6.508827209472656e-5
3,-4.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
4,-3.5,-5.0,0.0,0.0,4,4,5.602836608886719e-5
5,-3.0,-5.0,0.0,0.0,4,4,5.602836608886719e-5
6,-2.5,-5.0,0.0,0.0,4,4,9.107589721679688e-5
7,-2.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
8,-1.5,-5.0,0.0,0.0,4,4,5.698204040527344e-5
9,-1.0,-5.0,0.0,0.0,4,4,5.698204040527344e-5
10,-0.5,-5.0,0.0,0.0,4,4,5.602836608886719e-5
11,0.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
12,0.5,-5.0,0.0,0.0,4,5,0.0001621246337890625
13,1.0,-5.0,0.0,0.0,4,5,0.000148773193359375
14,1.5,-5.0,0.0,0.0,4,7,8.416175842285156e-5
15,2.0,-5.0,0.0,0.0,4,8,9.298324584960938e-5
16,2.5,-5.0,0.0,0.0,4,11,0.00014400482177734375
17,3.0,-5.0,0.0,0.0,4,11,0.00014209747314453125
18,3.5,-5.0,0.0,0.0,4,11,0.0001480579376220703
19,4.0,-5.0,0.0,0.0,4,11,0.00021696090698242188
20,4.5,-5.0,0.0,0.0,4,11,0.00021219253540039062
21,5.0,-5.0,0.0,5.000000001262809,4,35,0.0005519390106201172
22,5.5,-5.0,0.0,5.000000002543321,4,34,0.0011620521545410156
23,6.0,-5.0,0.0,5.000000000000006,4,33,0.0009319782257080078
24,6.5,-5.0,0.0,0.0,4,46,0.0028159618377685547
25,7.0,-5.0,0.0,5.0,4,83,0.004414081573486328
26,7.5,-5.0,0.0,0.0,4,4,5.888938903808594e-5
27,8.0,-5.0,0.0,0.0,4,4,5.91278076171875e-5
28,8.5,-5.0,0.0,0.0,4,4,5.793571472167969e-5
29,9.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
30,9.5,-5.0,0.0,0.0,4,4,8.511543273925781e-5
31,10.0,-5.0,0.0,0.0,4,4,7.104873657226562e-5
32,10.5,-5.0,0.0,0.0,4,4,5.888938903808594e-5
33,11.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
34,11.5,-5.0,0.0,0.0,4,4,5.817413330078125e-5
35,12.0,-5.0,0.0,0.0,4,4,5.888938903808594e-5
36,12.5,-5.0,0.0,0.0,4,4,5.602836608886719e-5
37,13.0,-5.0,0.0,0.0,4,4,5.698204040527344e-5
38,13.5,-5.0,0.0,0.0,4,4,5.888938903808594e-5
39,14.0,-5.0,0.0,0.0,4,4,5.91278076171875e-5
40,14.5,-5.0,0.0,0.0,4,4,5.888938903808594e-5
41,15.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
42,15.5,-5.0,0.0,0.0,4,4,6.008148193359375e-5
43,16.0,-5.0,0.0,0.0,4,4,6.008148193359375e-5
44,16.5,-5.0,0.0,0.0,4,4,6.008148193359375e-5
45,17.0,-5.0,0.0,0.0,4,4,5.888938903808594e-5
46,17.5,-5.0,0.0,0.0,4,4,5.698204040527344e-5
47,18.0,-5.0,0.0,0.0,4,4,5.793571472167969e-5
48,18.5,-5.0,0.0,0.0,4,4,5.698204040527344e-5
