N,tol,objective,cviolation,iters,sub_iters,runtime
16,0.001,-0.2186515059707349,0.0020278545041977946,15,1314,0.7294719219207764
16,0.0005623413251903491,-0.04121047957190041,0.0003797022682125439,20,1871,0.06957602500915527
16,0.00031622776601683794,-0.054892651248119935,0.0005060077476396154,17,1549,0.030904054641723633
16,0.0001778279410038923,-0.0551357715979108,0.0005082705234684861,18,1715,0.02418208122253418
16,0.0001,-0.006386460060271344,5.8768872955478524e-5,26,2750,0.05680108070373535
16,5.623413251903491e-5,-0.006419099006525533,5.9068412825504044e-5,26,2928,0.04963493347167969
16,3.1622776601683795e-5,-0.006422672712760431,5.9102384765724386e-5,26,3013,0.07239294052124023
16,1.778279410038923e-5,-0.004511321619790153,4.14806946145989e-5,41,6350,0.09561800956726074
16,9.999999999999999e-6,-0.0014868976965360845,1.367985129248599e-5,31,4247,0.07339286804199219
32,0.001,-2.0058139014903054,0.0036577982570173066,11,3442,0.09008288383483887
32,0.0005623413251903491,-1.0152850890101202,0.001814345465524455,13,3868,0.07636499404907227
32,0.00031622776601683794,-0.7199014943628034,0.001278995894090026,14,3343,0.09160089492797852
32,0.0001778279410038923,-0.19273502365413742,0.0003389643345114762,28,12655,0.2695198059082031
32,0.0001,-0.19247232818188614,0.00033850257501795775,27,14644,0.31583213806152344
32,5.623413251903491e-5,-0.05798887404065642,0.0001017271752305539,35,23080,0.4951179027557373
32,3.1622776601683795e-5,-0.05801939657693558,0.00010178062755337797,38,25610,0.5437259674072266
32,1.778279410038923e-5,-0.03435007914703971,6.023085745890282e-5,43,31918,0.6839489936828613
32,9.999999999999999e-6,-0.008874648561536061,1.5554035915906975e-5,44,33968,0.7389469146728516
48,0.001,-6.800144587520621,0.004898946812441928,13,8190,0.18178796768188477
48,0.0005623413251903491,-3.5820176508483597,0.0024525679288712964,16,8592,0.19521617889404297
48,0.00031622776601683794,-2.2995792016897414,0.0015460753595836583,18,10524,0.2464301586151123
48,0.0001778279410038923,-1.1691628064427253,0.0007741549690655578,21,14512,0.3294069766998291
48,0.0001,-0.7413598700112302,0.00048815394877951265,23,14887,0.34989094734191895
48,5.623413251903491e-5,-0.2713595344813624,0.00017760408013136356,42,45655,1.0515809059143066
48,3.1622776601683795e-5,-0.14409998828311663,9.416071828968487e-5,49,84491,1.9475328922271729
48,1.778279410038923e-5,-0.1333890730883201,8.714933913850268e-5,44,1700057,37.432968854904175
48,9.999999999999999e-6,-0.04695996747580988,3.064803857525903e-5,49,1306906,29.177863121032715
64,0.001,-13.808230920890038,0.005260040037835491,11,12708,0.361616849899292
64,0.0005623413251903491,-7.226846405462677,0.002511920149257343,13,16226,0.41612982749938965
64,0.00031622776601683794,-5.1202496423002195,0.001736811352929174,14,17366,0.43105006217956543
64,0.0001778279410038923,-2.5146384198390788,0.0008295792473408369,16,23191,0.560495138168335
64,0.0001,-1.2170314571089307,0.00039630598177793245,18,28261,0.6552338600158691
64,5.623413251903491e-5,-0.8441609343247428,0.0002738855014462024,19,27725,0.6645059585571289
64,3.1622776601683795e-5,-0.40472990382310847,0.0001307574946395766,21,818474,18.543981790542603
64,1.778279410038923e-5,-0.28010766044797974,9.038759791742716e-5,22,2135160,47.682267904281616
64,9.999999999999999e-6,-0.16804419098249124,5.416726342178418e-5,33,1293578,29.403836011886597
