id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,2.3736493815220707e-9,4,33,0.000537872314453125
2,-4.5,-5.0,0.0,4.8977751214233965e-11,4,41,0.0005359649658203125
3,-4.0,-5.0,0.0,-3.739849199521262e-9,4,33,0.00043487548828125
4,-3.5,-5.0,0.0,4.2871256329312833e-10,4,39,0.0006139278411865234
5,-3.0,-5.0,0.0,8.22777367077834e-11,4,33,0.00045609474182128906
6,-2.5,-5.0,0.0,1.5880594390638933e-9,4,28,0.0003991127014160156
7,-2.0,-5.0,0.0,1.212501579802854e-8,4,33,0.0005140304565429688
8,-1.5,-5.0,0.0,1.182713108628976e-9,4,127,0.001692056655883789
9,-1.0,-5.0,0.0,-3.565210904846565e-9,4,43,0.0007059574127197266
10,-0.5,-5.0,0.0,9.891646729851754e-11,4,33,0.0004508495330810547
11,0.0,-5.0,0.0,2.5747178850938706e-16,4,50,0.0006048679351806641
12,0.5,-5.0,0.0,9.357502778945157e-17,4,35,0.0004181861877441406
13,1.0,-5.0,0.0,1.473235916162345e-8,4,37,0.0004558563232421875
14,1.5,-5.0,0.0,-4.447005311263195e-16,4,29,0.00034880638122558594
15,2.0,-5.0,0.0,-1.2516759370543635e-16,4,27,0.0003399848937988281
16,2.5,-5.0,0.0,5.824390923961392e-16,4,33,0.0003650188446044922
17,3.0,-5.0,0.0,-2.669559628069806e-9,4,42,0.0005679130554199219
18,3.5,-5.0,0.0,-2.7624089928434407e-16,4,134,0.0014498233795166016
19,4.0,-5.0,0.0,-2.341191204529469e-10,4,47,0.0006239414215087891
20,4.5,-5.0,0.0,-1.9896449312822784e-9,4,50,0.0006010532379150391
21,5.0,-5.0,0.0,-2.917048720866532e-10,4,232,0.0024950504302978516
22,-5.0,-4.5,0.0,-1.0604206465241462e-8,4,48,0.0005521774291992188
23,-4.5,-4.5,0.0,-1.8355223523275971e-9,4,38,0.00046896934509277344
24,-4.0,-4.5,0.0,5.313332395448308e-9,4,34,0.0004601478576660156
25,-3.5,-4.5,0.0,9.196972886124342e-9,4,40,0.00043892860412597656
26,-3.0,-4.5,0.0,-1.3317612917958154e-16,4,35,0.00043511390686035156
27,-2.5,-4.5,0.0,6.871257674284272e-10,4,31,0.0003879070281982422
28,-2.0,-4.5,0.0,9.778328964291418e-9,4,27,0.00038313865661621094
29,-1.5,-4.5,0.0,-1.2032057308141695e-10,4,31,0.0004260540008544922
30,-1.0,-4.5,0.0,-5.555477342804142e-18,4,38,0.0004930496215820312
31,-0.5,-4.5,0.0,-7.784432953180282e-16,4,46,0.0005290508270263672
32,0.0,-4.5,0.0,2.6138491365932855e-16,4,41,0.0005540847778320312
33,0.5,-4.5,0.0,-1.8364313263574384e-8,4,54,0.0007431507110595703
34,1.0,-4.5,0.0,2.336863922823646e-8,4,50,0.0005640983581542969
35,1.5,-4.5,0.0,-5.57744964384639e-17,4,29,0.000370025634765625
36,2.0,-4.5,0.0,1.9319964604841126e-8,4,36,0.0004940032958984375
37,2.5,-4.5,0.0,5.1110454650197096e-11,4,34,0.0006489753723144531
38,3.0,-4.5,0.0,2.091940758505124e-8,4,43,0.0006749629974365234
39,3.5,-4.5,0.0,8.028471030642241e-9,4,36,0.0004818439483642578
40,4.0,-4.5,0.0,1.5492431526178148e-10,4,49,0.0006499290466308594
41,4.5,-4.5,0.0,1.6505749204515498e-10,4,37,0.0004818439483642578
42,5.0,-4.5,0.0,8.879198893627555e-17,4,41,0.0005979537963867188
43,-5.0,-4.0,0.0,2.782764994841798e-8,4,46,0.0005519390106201172
44,-4.5,-4.0,0.0,-6.7201572548747685e-9,4,29,0.0004241466522216797
45,-4.0,-4.0,0.0,1.0716495268024828e-8,4,35,0.0004930496215820312
46,-3.5,-4.0,0.0,5.377150698579814e-16,4,39,0.000514984130859375
47,-3.0,-4.0,0.0,-2.7076593746567333e-8,4,42,0.0005919933319091797
48,-2.5,-4.0,0.0,-1.5593697361208545e-9,4,37,0.000514984130859375
49,-2.0,-4.0,0.0,-6.619986978479408e-16,4,26,0.0003399848937988281
50,-1.5,-4.0,0.0,-3.45352954156334e-16,4,44,0.0005230903625488281
51,-1.0,-4.0,0.0,1.796046056060535e-16,4,36,0.0004439353942871094
52,-0.5,-4.0,0.0,-1.835540467897373e-8,4,42,0.0006158351898193359
53,0.0,-4.0,0.0,-1.7777951013446883e-17,4,34,0.0005118846893310547
54,0.5,-4.0,0.0,-4.5018503312025975e-9,4,33,0.00047779083251953125
55,1.0,-4.0,0.0,4.651725366500219e-16,4,29,0.0003788471221923828
56,1.5,-4.0,0.0,-9.119808426379774e-10,4,41,0.0005488395690917969
57,2.0,-4.0,0.0,-1.4272210149529351e-8,4,35,0.0005328655242919922
58,2.5,-4.0,0.0,-1.8304707207520764e-16,4,33,0.0004401206970214844
59,3.0,-4.0,0.0,-3.060874386401081e-16,4,59,0.0007481575012207031
60,3.5,-4.0,0.0,3.953052212416873e-10,4,41,0.0005230903625488281
61,4.0,-4.0,0.0,7.970388847800814e-10,4,35,0.0004749298095703125
62,4.5,-4.0,0.0,-1.3063608321907446e-9,4,38,0.0005941390991210938
63,5.0,-4.0,0.0,3.0172213533834475e-9,4,39,0.0005800724029541016
64,-5.0,-3.5,0.0,-4.2469937171374794e-11,4,50,0.0006480216979980469
65,-4.5,-3.5,0.0,1.0545799956738973e-8,4,40,0.0005700588226318359
66,-4.0,-3.5,0.0,2.559317532267526e-16,4,32,0.00040721893310546875
67,-3.5,-3.5,0.0,3.832759235365685e-17,4,36,0.0006048679351806641
