id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-7.948772305237617e-17,4,34,0.0009100437164306641
2,-4.5,-5.0,0.0,3.6733831911418144e-8,4,35,0.0007750988006591797
3,-4.0,-5.0,0.0,-1.959844520837524e-8,4,29,0.0005390644073486328
4,-3.5,-5.0,0.0,3.145676155881771e-16,4,32,0.0004889965057373047
5,-3.0,-5.0,0.0,-4.159801830212733e-16,4,35,0.0005571842193603516
6,-2.5,-5.0,0.0,1.5216457897544398e-16,4,35,0.0004458427429199219
7,-2.0,-5.0,0.0,6.415813916338622e-9,4,26,0.00038814544677734375
8,-1.5,-5.0,0.0,-3.837737668617824e-9,4,27,0.00038695335388183594
9,-1.0,-5.0,0.0,2.9508333289448108e-8,4,32,0.000576019287109375
10,-0.5,-5.0,0.0,-1.2122325477998447e-8,4,44,0.0007338523864746094
11,0.0,-5.0,0.0,2.4125902540564705e-16,4,37,0.0005280971527099609
12,0.5,-5.0,0.0,2.2322802032534807e-16,4,34,0.0006909370422363281
13,1.0,-5.0,0.0,8.750477678913483e-17,4,37,0.0006389617919921875
14,1.5,-5.0,0.0,-2.397033284880166e-16,4,30,0.0007038116455078125
15,2.0,-5.0,0.0,-1.2516759370543635e-16,4,27,0.0005800724029541016
16,2.5,-5.0,0.0,5.824390923961392e-16,4,33,0.00045299530029296875
17,3.0,-5.0,0.0,3.354242965576269e-8,4,39,0.0006060600280761719
18,3.5,-5.0,0.0,-3.19762341491776e-8,4,37,0.0006189346313476562
19,4.0,-5.0,0.0,-2.650403399276428e-8,4,44,0.0006170272827148438
20,4.5,-5.0,0.0,1.2987931405488725e-8,4,44,0.0006439685821533203
21,5.0,-5.0,0.0,3.927742055450356e-9,4,41,0.0007798671722412109
22,-5.0,-4.5,0.0,2.2962658236202544e-16,4,29,0.000492095947265625
23,-4.5,-4.5,0.0,-3.008813961632984e-9,4,38,0.0005469322204589844
24,-4.0,-4.5,0.0,1.9115766338032124e-8,4,32,0.0005440711975097656
25,-3.5,-4.5,0.0,-4.194226575139517e-17,4,36,0.0006349086761474609
26,-3.0,-4.5,0.0,3.4920730406074436e-8,4,38,0.0006060600280761719
27,-2.5,-4.5,0.0,4.465577129294308e-9,4,30,0.0006611347198486328
28,-2.0,-4.5,0.0,7.612263276640188e-16,4,29,0.00046515464782714844
29,-1.5,-4.5,0.0,-3.881499242282834e-9,4,24,0.0004220008850097656
30,-1.0,-4.5,0.0,1.189573855586249e-8,4,31,0.0004909038543701172
31,-0.5,-4.5,0.0,-2.328994498084054e-9,4,25,0.00035190582275390625
32,0.0,-4.5,0.0,-1.80008241370566e-16,4,34,0.0005490779876708984
33,0.5,-4.5,0.0,-3.6020121962172574e-8,4,37,0.0004858970642089844
34,1.0,-4.5,0.0,-1.431214588073333e-16,4,44,0.0005810260772705078
35,1.5,-4.5,0.0,-5.57744964384639e-17,4,29,0.00044083595275878906
36,2.0,-4.5,0.0,-2.7725881448316694e-16,4,33,0.00047707557678222656
37,2.5,-4.5,0.0,3.813973044565666e-8,4,31,0.0004420280456542969
38,3.0,-4.5,0.0,3.161586901270109e-8,4,37,0.0004961490631103516
39,3.5,-4.5,0.0,8.028471030642241e-9,4,36,0.0006091594696044922
40,4.0,-4.5,0.0,-1.9223293651341877e-8,4,49,0.0006959438323974609
41,4.5,-4.5,0.0,1.6505749204515498e-10,4,37,0.0005648136138916016
42,5.0,-4.5,0.0,8.879198893627555e-17,4,41,0.0009281635284423828
43,-5.0,-4.0,0.0,2.1993831373224846e-8,4,42,0.0005979537963867188
44,-4.5,-4.0,0.0,-4.917685356323296e-17,4,34,0.00048804283142089844
45,-4.0,-4.0,0.0,3.0016041854054624e-17,4,32,0.00049591064453125
46,-3.5,-4.0,0.0,-1.6805771276123756e-8,4,32,0.00044918060302734375
47,-3.0,-4.0,0.0,3.4276595174817856e-8,4,38,0.0007088184356689453
48,-2.5,-4.0,0.0,-2.9391024312125146e-16,4,33,0.00046896934509277344
49,-2.0,-4.0,0.0,-2.4224549156908412e-8,4,23,0.00034689903259277344
50,-1.5,-4.0,0.0,-2.9883862641159894e-16,4,32,0.0005190372467041016
51,-1.0,-4.0,0.0,-2.7250605787255738e-9,4,51,0.00074005126953125
52,-0.5,-4.0,0.0,-6.883328708164388e-9,4,71,0.0009930133819580078
53,0.0,-4.0,0.0,1.2629611060645397e-16,4,30,0.00046896934509277344
54,0.5,-4.0,0.0,-3.559939239537833e-8,4,31,0.0005631446838378906
55,1.0,-4.0,0.0,4.651725366500219e-16,4,29,0.00045490264892578125
56,1.5,-4.0,0.0,1.5065114176630397e-8,4,50,0.0009229183197021484
57,2.0,-4.0,0.0,2.148443379748776e-16,4,33,0.0007109642028808594
58,2.5,-4.0,0.0,3.25706891808096e-8,4,39,0.0005249977111816406
59,3.0,-4.0,0.0,1.1487589219416908e-8,4,41,0.0006270408630371094
60,3.5,-4.0,0.0,-1.2874783555283618e-9,4,42,0.000659942626953125
61,4.0,-4.0,0.0,7.970388847800814e-10,4,35,0.0005359649658203125
62,4.5,-4.0,0.0,-1.3063608321907446e-9,4,38,0.0007860660552978516
63,5.0,-4.0,0.0,3.0172213533834475e-9,4,39,0.0006978511810302734
64,-5.0,-3.5,0.0,1.603567505259005e-8,4,48,0.0006670951843261719
65,-4.5,-3.5,0.0,-8.451131490660658e-11,4,46,0.0006890296936035156
66,-4.0,-3.5,0.0,2.559317532267526e-16,4,32,0.0004639625549316406
67,-3.5,-3.5,0.0,2.02611851865577e-16,4,46,0.0007009506225585938
68,-3.0,-3.5,0.0,-8.519862985980772e-17,4,39,0.0005130767822265625
69,-2.5,-3.5,0.0,2.1608636599480853e-8,4,38,0.0006618499755859375
70,-2.0,-3.5,0.0,1.5359482335671252e-16,4,34,0.0004749298095703125
71,-1.5,-3.5,0.0,1.0241623596017515e-16,4,28,0.0004229545593261719
72,-1.0,-3.5,0.0,1.2491322329990972e-9,4,43,0.0007839202880859375
73,-0.5,-3.5,0.0,-2.825585521690046e-8,4,38,0.0005540847778320312
74,0.0,-3.5,0.0,-1.0407096194481218e-16,4,33,0.0004799365997314453
75,0.5,-3.5,0.0,-7.505514721279313e-17,4,37,0.0005190372467041016
76,1.0,-3.5,0.0,-9.744225463834921e-10,4,43,0.0006098747253417969
77,1.5,-3.5,0.0,1.3778938371328797e-16,4,41,0.0005741119384765625
78,2.0,-3.5,0.0,9.667169821656589e-17,4,43,0.0005919933319091797
79,2.5,-3.5,0.0,2.2962938413354334e-16,4,33,0.0005280971527099609
80,3.0,-3.5,0.0,-1.4353848063911425e-9,4,47,0.0006909370422363281
81,3.5,-3.5,0.0,9.182165373503677e-17,4,35,0.0005841255187988281
82,4.0,-3.5,0.0,4.7025161672314465e-9,4,32,0.0008809566497802734
83,4.5,-3.5,0.0,2.475909467469015e-16,4,41,0.0009150505065917969
84,5.0,-3.5,0.0,-3.2368582688943688e-9,4,43,0.0008230209350585938
85,-5.0,-3.0,0.0,1.6146445562442676e-8,4,43,0.0006859302520751953
86,-4.5,-3.0,0.0,-9.189507427121792e-9,4,43,0.0006439685821533203
87,-4.0,-3.0,0.0,4.1566686048626696e-17,4,35,0.0005779266357421875
88,-3.5,-3.0,0.0,2.364211327301877e-8,4,49,0.0008561611175537109
89,-3.0,-3.0,0.0,3.476253280096326e-16,4,38,0.0005340576171875
90,-2.5,-3.0,0.0,-4.174742170374708e-17,4,33,0.00055694580078125
91,-2.0,-3.0,0.0,1.5958340031249209e-16,4,29,0.0004291534423828125
92,-1.5,-3.0,0.0,3.583145243254743e-17,4,29,0.0005629062652587891
93,-1.0,-3.0,0.0,2.6617602320011588e-8,4,40,0.0006659030914306641
94,-0.5,-3.0,0.0,4.986858731162964e-16,4,33,0.000492095947265625
95,0.0,-3.0,0.0,7.126016716845504e-17,4,43,0.0006442070007324219
96,0.5,-3.0,0.0,8.80021518812414e-17,4,39,0.0005979537963867188
97,1.0,-3.0,0.0,-1.4387002962174352e-16,4,33,0.00047707557678222656
98,1.5,-3.0,0.0,-7.246532345672296e-9,4,29,0.00046896934509277344
99,2.0,-3.0,0.0,8.959238984896084e-17,4,34,0.0005669593811035156
100,2.5,-3.0,0.0,-1.9904493299274375e-16,4,40,0.0006020069122314453
101,3.0,-3.0,0.0,-2.0735050500847243e-8,4,45,0.0008649826049804688
102,3.5,-3.0,0.0,-3.455588645323634e-10,4,33,0.0006730556488037109
103,4.0,-3.0,0.0,-3.65454482675236e-17,4,40,0.0007312297821044922
104,4.5,-3.0,0.0,-5.702726315457362e-9,4,48,0.0009570121765136719
105,5.0,-3.0,0.0,-3.519139331347157e-10,4,45,0.0008099079132080078
106,-5.0,-2.5,0.0,5.679365717547569e-10,4,50,0.0008699893951416016
107,-4.5,-2.5,0.0,2.898523668656416e-16,4,43,0.0007679462432861328
108,-4.0,-2.5,0.0,-3.33771327036324e-16,4,33,0.0005669593811035156
109,-3.5,-2.5,0.0,-2.9882603378767014e-9,4,31,0.0004849433898925781
110,-3.0,-2.5,0.0,9.592481417431427e-10,4,37,0.0005841255187988281
111,-2.5,-2.5,0.0,9.159446324230647e-17,4,38,0.0005300045013427734
112,-2.0,-2.5,0.0,2.3822211211697713e-16,4,33,0.0005631446838378906
113,-1.5,-2.5,0.0,8.11976106452017e-17,4,33,0.0005497932434082031
114,-1.0,-2.5,0.0,3.9821901656495757e-16,4,42,0.0006690025329589844
115,-0.5,-2.5,0.0,-1.0465235783609973e-16,4,42,0.0005300045013427734
116,0.0,-2.5,0.0,5.105967988737048e-16,4,30,0.0004649162292480469
117,0.5,-2.5,0.0,1.5464008783695695e-16,4,31,0.0004279613494873047
118,1.0,-2.5,0.0,3.956584657741554e-8,4,31,0.00043511390686035156
119,1.5,-2.5,0.0,-5.869461841309106e-9,4,35,0.0005600452423095703
120,2.0,-2.5,0.0,-3.255626897207144e-8,4,34,0.0005970001220703125
121,2.5,-2.5,0.0,-2.53368755230452e-8,4,44,0.0010640621185302734
122,3.0,-2.5,0.0,-1.613504575441024e-8,4,39,0.0007269382476806641
123,3.5,-2.5,0.0,8.511257213857957e-9,4,40,0.0007929801940917969
124,4.0,-2.5,0.0,1.5921653215842753e-16,4,33,0.0006470680236816406
125,4.5,-2.5,0.0,3.7625340501235956e-9,4,39,0.0007688999176025391
