id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-3.56774369357207e-8,20,19006,0.17398810386657715
2,-4.5,-5.0,0.0,-4.587923362811014e-8,13,12280,0.11177706718444824
3,-4.0,-5.0,0.0,-3.670503081110921e-8,9,8027,0.07263302803039551
4,-3.5,-5.0,0.0,-3.6791220892412935e-8,6,5003,0.045471906661987305
5,-3.0,-5.0,0.0,-3.9820780937946806e-8,4,2868,0.025923967361450195
6,-2.5,-5.0,0.0,-3.301852169679839e-8,4,1401,0.012769937515258789
7,-2.0,-5.0,0.0,-3.12141776229418e-8,4,897,0.008093833923339844
8,-1.5,-5.0,0.0,-3.3256289514599786e-8,4,346,0.0032231807708740234
9,-1.0,-5.0,0.0,-3.176940985850381e-8,4,365,0.003326892852783203
10,-0.5,-5.0,0.0,-3.3767390465158935e-8,4,517,0.004700899124145508
11,0.0,-5.0,0.0,-3.092463676700258e-8,4,799,0.0072460174560546875
12,0.5,-5.0,0.0,-3.0580144679063766e-8,4,1134,0.05639004707336426
13,1.0,-5.0,0.0,-3.572825081208792e-8,4,2119,0.017826080322265625
14,1.5,-5.0,0.0,-3.527652075922338e-8,5,4032,0.03442120552062988
15,2.0,-5.0,0.0,-4.86688565764986e-8,7,6960,0.059329986572265625
16,2.5,-5.0,0.0,-3.5748214856504283e-8,12,11036,0.09462308883666992
17,3.0,-5.0,0.0,-3.8094970912317166e-8,18,17050,0.14799094200134277
18,3.5,-5.0,0.0,-3.180761856150733e-8,4,1187,0.010681867599487305
19,4.0,-5.0,0.0,-3.3197025995538146e-8,4,1383,0.012248992919921875
20,4.5,-5.0,0.0,-2.9700080470624373e-8,4,1705,0.015067100524902344
21,5.0,-5.0,0.0,-4.063315612914337e-8,4,2677,0.023849964141845703
22,-5.0,-4.5,0.0,-4.1590718788575565e-8,19,18021,0.18602895736694336
23,-4.5,-4.5,0.0,-4.8606298144281006e-8,12,11957,0.10195708274841309
24,-4.0,-4.5,0.0,-4.652615503530889e-8,8,7251,0.06133222579956055
25,-3.5,-4.5,0.0,-4.6279211144679605e-8,5,4343,0.03689312934875488
26,-3.0,-4.5,0.0,-4.007933544522624e-8,4,2463,0.02070903778076172
27,-2.5,-4.5,0.0,-3.183431548694996e-8,4,1228,0.010318994522094727
28,-2.0,-4.5,0.0,-3.175325411332326e-8,4,811,0.006824970245361328
29,-1.5,-4.5,0.0,-3.177941183246813e-8,4,303,0.0026030540466308594
30,-1.0,-4.5,0.0,-3.2667887427511053e-8,4,321,0.0027658939361572266
31,-0.5,-4.5,0.0,-3.45696137404352e-8,4,473,0.004003047943115234
32,0.0,-4.5,0.0,-2.9991649409380935e-8,4,755,0.006350994110107422
33,0.5,-4.5,0.0,-3.233315049217501e-8,4,1074,0.009047985076904297
34,1.0,-4.5,0.0,-3.317333423353022e-8,4,2050,0.017333984375
35,1.5,-4.5,0.0,-4.842381373134076e-8,4,3767,0.03188490867614746
36,2.0,-4.5,0.0,-3.993299649555204e-8,7,6103,0.053385019302368164
37,2.5,-4.5,0.0,-4.423134503884507e-8,11,10113,0.09010601043701172
38,3.0,-4.5,0.0,-3.24940434264205e-8,4,1117,0.010066986083984375
