id,xinit_1,xinit_2,xfinal_1,xfinal_2,iters,sub_iters,runtime
1,-5.0,-5.0,0.0,-4.108272268832981e-8,4,7582,0.060997962951660156
2,-4.5,-5.0,0.0,-4.0996888653913866e-8,4,5829,0.04517102241516113
3,-4.0,-5.0,0.0,-4.0879582444413146e-8,4,4332,0.05687308311462402
4,-3.5,-5.0,0.0,-4.0579884273411395e-8,4,3091,0.024171829223632812
5,-3.0,-5.0,0.0,-4.0543401525443905e-8,4,2105,0.01676487922668457
6,-2.5,-5.0,0.0,-3.965085956936743e-8,4,1374,0.011337041854858398
7,-2.0,-5.0,0.0,-3.9919159692074466e-8,4,895,0.007024049758911133
8,-1.5,-5.0,0.0,-4.043758323077171e-8,4,345,0.0028722286224365234
9,-1.0,-5.0,0.0,-3.818253619170473e-8,4,364,0.0028951168060302734
10,-0.5,-5.0,0.0,-3.821592158254556e-8,4,516,0.0046842098236083984
11,0.0,-5.0,0.0,-3.9904024265144896e-8,4,797,0.006310939788818359
12,0.5,-5.0,0.0,-3.997804751389564e-8,4,1206,0.009971141815185547
13,1.0,-5.0,0.0,-4.069681046031157e-8,4,1742,0.014189004898071289
14,1.5,-5.0,0.0,-4.0631278446042e-8,4,2406,0.019154071807861328
15,2.0,-5.0,0.0,-4.108707707562002e-8,4,3197,0.02519083023071289
16,2.5,-5.0,0.0,-4.11636646214459e-8,4,4116,0.03256082534790039
17,3.0,-5.0,0.0,-4.1063831228292835e-8,4,5163,0.041918039321899414
18,3.5,-5.0,0.0,-4.130208024765854e-8,4,93211,0.777414083480835
19,4.0,-5.0,0.0,-4.1465793243739077e-8,4,142420,1.194408893585205
20,4.5,-5.0,0.0,-4.149979720632025e-8,4,176627,1.4870281219482422
21,5.0,-5.0,0.0,-4.1521253122901684e-8,4,173856,1.4045119285583496
22,-5.0,-4.5,0.0,-4.1035550703079334e-8,4,7481,0.05689883232116699
23,-4.5,-4.5,0.0,-4.0775098816045475e-8,4,5732,0.04344892501831055
24,-4.0,-4.5,0.0,-4.071334643626005e-8,4,4238,0.03343510627746582
25,-3.5,-4.5,0.0,-4.102064826409587e-8,4,2999,0.024023056030273438
26,-3.0,-4.5,0.0,-4.058685847285759e-8,4,2016,0.016360998153686523
27,-2.5,-4.5,0.0,-3.9765586271666806e-8,4,1287,0.010331153869628906
28,-2.0,-4.5,0.0,-4.0914818803285966e-8,4,809,0.0066030025482177734
29,-1.5,-4.5,0.0,-3.9939576979735405e-8,4,302,0.0025479793548583984
30,-1.0,-4.5,0.0,-4.04277856806285e-8,4,320,0.0026938915252685547
31,-0.5,-4.5,0.0,-3.961643515244087e-8,4,472,0.003834962844848633
32,0.0,-4.5,0.0,-3.8880944782000336e-8,4,753,0.006085872650146484
33,0.5,-4.5,0.0,-4.1009632459140995e-8,4,1160,0.009433984756469727
34,1.0,-4.5,0.0,-4.038204734774845e-8,4,1695,0.013890981674194336
35,1.5,-4.5,0.0,-4.0118611067147374e-8,4,2357,0.019407987594604492
36,2.0,-4.5,0.0,-4.079412082599526e-8,4,3145,0.026256084442138672
37,2.5,-4.5,0.0,-4.0613002189010725e-8,4,4061,0.033735036849975586
38,3.0,-4.5,0.0,-4.121761328891326e-8,4,60776,0.4906599521636963
39,3.5,-4.5,0.0,-4.141059903918495e-8,4,113823,0.8802449703216553
40,4.0,-4.5,0.0,-4.148013680419902e-8,4,151946,1.1873199939727783
41,4.5,-4.5,0.0,-4.147884154119139e-8,4,168109,1.3065941333770752
42,5.0,-4.5,0.0,-4.1512286403387463e-8,4,174420,1.414139986038208
43,-5.0,-4.0,0.0,-4.095975622943208e-8,4,7385,0.055296897888183594
44,-4.5,-4.0,0.0,-4.099471142539632e-8,4,5637,0.04407811164855957
45,-4.0,-4.0,0.0,-4.099329789671268e-8,4,4145,0.032707929611206055
46,-3.5,-4.0,0.0,-4.0660916638781985e-8,4,2909,0.023865222930908203
47,-3.0,-4.0,0.0,-4.011414623335992e-8,4,1928,0.015510082244873047
48,-2.5,-4.0,0.0,-4.0899796475123237e-8,4,1200,0.009791135787963867
49,-2.0,-4.0,0.0,-4.095826969847583e-8,4,724,0.006067991256713867
50,-1.5,-4.0,0.0,-3.9049443671935163e-8,4,498,0.004214048385620117
51,-1.0,-4.0,0.0,-3.794280337986304e-8,4,277,0.0023839473724365234
52,-0.5,-4.0,0.0,-3.613142318921191e-8,4,429,0.003620147705078125
53,0.0,-4.0,0.0,-4.074636494681748e-8,4,708,0.005925893783569336
54,0.5,-4.0,0.0,-4.08603944504286e-8,4,1114,0.009282112121582031
55,1.0,-4.0,0.0,-4.1052114818936844e-8,4,1646,0.013833045959472656
56,1.5,-4.0,0.0,-4.018896908733916e-8,4,2305,0.01934194564819336
57,2.0,-4.0,0.0,-4.052356813154872e-8,4,3089,0.026031017303466797
58,2.5,-4.0,0.0,-4.115414170769626e-8,4,37614,0.30443382263183594
59,3.0,-4.0,0.0,-4.143487098262657e-8,4,100085,0.7979991436004639
60,3.5,-4.0,0.0,-4.1465740743209835e-8,4,125394,1.012510061264038
61,4.0,-4.0,0.0,-4.148153277166291e-8,4,152130,1.1818110942840576
62,4.5,-4.0,0.0,-4.148355757251719e-8,4,167756,1.3045728206634521
63,5.0,-4.0,0.0,-4.150516865986337e-8,4,175128,1.3785948753356934
64,-5.0,-3.5,0.0,-4.115477215918126e-8,4,7306,0.05560588836669922
65,-4.5,-3.5,0.0,-4.1005727369905024e-8,4,5554,0.04263496398925781
66,-4.0,-3.5,0.0,-4.065503847500825e-8,4,4060,0.030881166458129883
67,-3.5,-3.5,0.0,-4.098341160988105e-8,4,2822,0.021390914916992188
68,-3.0,-3.5,0.0,-4.08467139710495e-8,4,1841,0.014232873916625977
69,-2.5,-3.5,0.0,-4.0237672971064836e-8,4,1115,0.009142875671386719
70,-2.0,-3.5,0.0,-4.0951072248231684e-8,4,640,0.0053021907806396484
71,-1.5,-3.5,0.0,-4.012314565806575e-8,4,413,0.0034291744232177734
72,-1.0,-3.5,0.0,-4.098285798792846e-8,4,233,0.0019729137420654297
73,-0.5,-3.5,0.0,-3.849626866982207e-8,4,385,0.003175020217895508
74,0.0,-3.5,0.0,-3.771155995851408e-8,4,664,0.0054090023040771484
75,0.5,-3.5,0.0,-3.978370931368297e-8,4,1067,0.008584022521972656
76,1.0,-3.5,0.0,-4.010300383362032e-8,4,1595,0.012823820114135742
77,1.5,-3.5,0.0,-4.0589000764722395e-8,4,2247,0.01823878288269043
78,2.0,-3.5,0.0,-4.107978935424098e-8,4,21764,0.1923060417175293
79,2.5,-3.5,0.0,-4.1141894276338263e-8,4,67249,0.515388011932373
80,3.0,-3.5,0.0,-4.1473006774939073e-8,4,105542,0.8323211669921875
81,3.5,-3.5,0.0,-4.145223306732491e-8,4,129539,1.0298731327056885
82,4.0,-3.5,0.0,-4.145794595132392e-8,4,150127,1.1684141159057617
83,4.5,-3.5,0.0,-4.149151218509648e-8,4,167244,1.2989349365234375
84,5.0,-3.5,0.0,-4.1498489288792825e-8,4,182324,1.4528839588165283
85,-5.0,-3.0,0.0,-4.096740913790749e-8,4,7282,0.054780006408691406
86,-4.5,-3.0,0.0,-4.1052367846448703e-8,4,5506,0.04181385040283203
87,-4.0,-3.0,0.0,-4.111501549715769e-8,4,3995,0.030414104461669922
88,-3.5,-3.0,0.0,-4.0365117247579054e-8,4,2748,0.02110886573791504
89,-3.0,-3.0,0.0,-4.0174457979100183e-8,4,1761,0.013790130615234375
90,-2.5,-3.0,0.0,-3.8843274115212357e-8,4,1033,0.008419990539550781
91,-2.0,-3.0,0.0,-3.953086822180149e-8,4,558,0.004652976989746094
92,-1.5,-3.0,0.0,-3.623461562971451e-8,4,330,0.002835988998413086
93,-1.0,-3.0,0.0,-3.662962099594266e-8,4,190,0.001692056655883789
94,-0.5,-3.0,0.0,-4.108534497625698e-8,4,341,0.003016948699951172
95,0.0,-3.0,0.0,-3.743210894115177e-8,4,618,0.005672931671142578
96,0.5,-3.0,0.0,-3.9443433127065094e-8,4,1016,0.00810098648071289
97,1.0,-3.0,0.0,-4.086040923888813e-8,4,1535,0.012412071228027344
98,1.5,-3.0,0.0,-4.102938243676743e-8,4,11507,0.09132003784179688
99,2.0,-3.0,0.0,-4.1093997808494404e-8,4,37328,0.29901885986328125
100,2.5,-3.0,0.0,-4.114380545869058e-8,4,91129,0.715062141418457
101,3.0,-3.0,0.0,-4.145915899961618e-8,4,109294,0.8543789386749268
102,3.5,-3.0,0.0,-4.143681334121818e-8,4,126738,1.0045368671417236
103,4.0,-3.0,0.0,-4.1488134287238604e-8,4,147901,1.1610970497131348
104,4.5,-3.0,0.0,-4.148624274725294e-8,4,168415,1.3142218589782715
105,5.0,-3.0,0.0,-4.1520451863693733e-8,4,195384,1.5383810997009277
106,-5.0,-2.5,0.0,-4.100281213665086e-8,4,7406,0.057192087173461914
107,-4.5,-2.5,0.0,-4.0984754845239025e-8,4,5556,0.043226003646850586
108,-4.0,-2.5,0.0,-4.095828525683885e-8,4,3991,0.03174304962158203
109,-3.5,-2.5,0.0,-4.1047836408852836e-8,4,2706,0.021700143814086914
110,-3.0,-2.5,0.0,-4.008123049593835e-8,4,1697,0.013849020004272461
111,-2.5,-2.5,0.0,-3.95253082664671e-8,4,957,0.007822990417480469
112,-2.0,-2.5,0.0,-3.8939478524540176e-8,4,479,0.0039441585540771484
113,-1.5,-2.5,0.0,-3.978440085460955e-8,4,248,0.0020940303802490234
114,-1.0,-2.5,0.0,-3.789699926858354e-8,4,144,0.00127410888671875
115,-0.5,-2.5,0.0,-4.004941262109288e-8,4,297,0.002496004104614258
116,0.0,-2.5,0.0,-3.9628882069939893e-8,4,568,0.0046460628509521484
117,0.5,-2.5,0.0,-3.9895843978312163e-8,4,955,0.0076410770416259766
118,1.0,-2.5,0.0,-4.070305372856649e-8,4,5367,0.043807029724121094
119,1.5,-2.5,0.0,-4.104775064149511e-8,4,18394,0.16059303283691406
120,2.0,-2.5,0.0,-4.111462136813233e-8,4,48140,0.3858299255371094
121,2.5,-2.5,0.0,-3.6009176278026705e-8,4,100048,0.7758150100708008
122,3.0,-2.5,0.0,-4.1449572270105956e-8,4,106962,0.8537700176239014
123,3.5,-2.5,0.0,-4.14797807396886e-8,4,123745,0.9617710113525391
124,4.0,-2.5,0.0,-4.146020117358399e-8,4,143597,1.1342999935150146
125,4.5,-2.5,0.0,-4.149373440964102e-8,4,156429,1.2196218967437744
126,5.0,-2.5,0.0,-4.149929375506871e-8,4,172984,1.3615469932556152
127,-5.0,-2.0,0.0,-4.113894443358082e-8,4,7886,0.06019902229309082
128,-4.5,-2.0,0.0,-4.076694092594331e-8,4,5847,0.04553985595703125
129,-4.0,-2.0,0.0,-4.095947398938402e-8,4,4138,0.03276419639587402
130,-3.5,-2.0,0.0,-4.096064650286693e-8,4,2751,0.02195906639099121
131,-3.0,-2.0,0.0,-4.08281541225995e-8,4,1675,0.014448881149291992
132,-2.5,-2.0,0.0,-3.8321354428815634e-8,4,899,0.008581876754760742
133,-2.0,-2.0,0.0,-3.6057762057040166e-8,4,407,0.0034880638122558594
134,-1.5,-2.0,0.0,-3.724110427520255e-8,4,172,0.001605987548828125
135,-1.0,-2.0,0.0,-4.063886027040253e-8,4,96,0.001043081283569336
136,-0.5,-2.0,0.0,-3.59312480947902e-8,4,252,0.0022020339965820312
137,0.0,-2.0,0.0,-3.738149845153007e-8,4,510,0.004509925842285156
138,0.5,-2.0,0.0,-4.035299451179454e-8,4,2094,0.017852067947387695
139,1.0,-2.0,0.0,-4.090600864838424e-8,4,7567,0.06256294250488281
140,1.5,-2.0,0.0,-4.103741202628904e-8,4,21703,0.18527698516845703
141,2.0,-2.0,0.0,-4.110010858882643e-8,4,52233,0.408160924911499
142,2.5,-2.0,0.0,-4.115089004485601e-8,4,95448,0.7554728984832764
143,3.0,-2.0,0.0,-4.137143160911063e-8,4,104727,0.8130528926849365
144,3.5,-2.0,0.0,-4.1480539401006277e-8,4,117621,0.9188220500946045
145,4.0,-2.0,0.0,-4.147392501014177e-8,4,121175,0.9626209735870361
146,4.5,-2.0,0.0,-4.148445964283178e-8,4,127571,0.984652042388916
147,5.0,-2.0,0.0,-4.1516199725251004e-8,4,138301,1.0980770587921143
148,-5.0,-1.5,0.0,-4.0895377256786456e-8,4,8943,0.0678260326385498
149,-4.5,-1.5,0.0,-4.1073671075103446e-8,4,6551,0.0524899959564209
150,-4.0,-1.5,0.0,-4.0581302915699746e-8,4,4564,0.0368649959564209
151,-3.5,-1.5,0.0,-4.0677240050675875e-8,4,2966,0.024303913116455078
152,-3.0,-1.5,0.0,-4.057494457476868e-8,4,1743,0.01540517807006836
153,-2.5,-1.5,0.0,-4.059553945683881e-8,4,877,0.008672952651977539
154,-2.0,-1.5,0.0,-3.775962323704543e-8,4,685,0.005957126617431641
155,-1.5,-1.5,0.0,-3.5539598808617446e-8,4,217,0.0019669532775878906
156,-1.0,-1.5,0.0,-4.1358862539630485e-8,4,94,0.0009279251098632812
157,-0.5,-1.5,0.0,-3.8395044601793776e-8,4,202,0.0022170543670654297
158,0.0,-1.5,0.0,-3.9470128547185775e-8,4,641,0.00563812255859375
159,0.5,-1.5,0.0,-4.0542901377726964e-8,4,2343,0.020164012908935547
160,1.0,-1.5,0.0,-4.0955810954940946e-8,4,7633,0.07914495468139648
161,1.5,-1.5,0.0,-4.105359366031359e-8,4,20551,0.1545858383178711
162,2.0,-1.5,0.0,-4.1111549420740604e-8,4,43598,0.3490309715270996
163,2.5,-1.5,0.0,-4.113075028538094e-8,4,83685,0.6759841442108154
164,3.0,-1.5,0.0,-4.1428580399003914e-8,4,101228,0.8042988777160645
165,3.5,-1.5,0.0,-4.099203200715906e-8,4,100912,0.7904207706451416
166,4.0,-1.5,0.0,-4.133120104976915e-8,4,101492,0.8037199974060059
167,4.5,-1.5,0.0,-4.1453111963549886e-8,4,103660,0.8064160346984863
168,5.0,-1.5,0.0,-4.149377002102292e-8,4,108828,0.8457179069519043
169,-5.0,-1.0,0.0,-4.118322815330628e-8,4,10581,0.07963895797729492
170,-4.5,-1.0,0.0,-4.086895537354329e-8,4,7691,0.06088995933532715
171,-4.0,-1.0,0.0,-4.054857556473661e-8,4,5296,0.04221701622009277
172,-3.5,-1.0,0.0,-4.083800178142923e-8,4,3379,0.02774190902709961
173,-3.0,-1.0,0.0,-4.027374868389711e-8,4,1923,0.01666998863220215
174,-2.5,-1.0,0.0,-3.9244245787980714e-8,4,906,0.007821083068847656
175,-2.0,-1.0,0.0,-3.726158279183344e-8,4,609,0.005722999572753906
176,-1.5,-1.0,0.0,-3.642009271229403e-8,4,234,0.0021948814392089844
177,-1.0,-1.0,0.0,-4.125922367143945e-8,4,99,0.0012679100036621094
178,-0.5,-1.0,0.0,-3.843553308538951e-8,4,158,0.001544952392578125
179,0.0,-1.0,0.0,-3.813539384596711e-8,4,512,0.0044100284576416016
180,0.5,-1.0,0.0,-4.0531247230125905e-8,4,1864,0.01604485511779785
181,1.0,-1.0,0.0,-4.0937739503121515e-8,4,5845,0.06385612487792969
182,1.5,-1.0,0.0,-4.106556890552675e-8,4,19170,0.14412498474121094
183,2.0,-1.0,0.0,-4.1103041130125685e-8,4,54397,0.4255681037902832
184,2.5,-1.0,0.0,-4.1297612252756695e-8,4,100456,0.7843549251556396
185,3.0,-1.0,0.0,-4.137576660851531e-8,4,108901,0.8572640419006348
186,3.5,-1.0,0.0,-4.146741870260829e-8,4,124277,0.985969066619873
187,4.0,-1.0,0.0,-4.1457347975360596e-8,4,141608,1.1094369888305664
188,4.5,-1.0,0.0,-4.146472603863374e-8,4,157444,1.2236480712890625
189,5.0,-1.0,0.0,-4.1248454662708326e-8,4,106575,0.8273348808288574
190,-5.0,-0.5,0.0,-4.11675305122393e-8,4,12710,0.09636211395263672
191,-4.5,-0.5,0.0,-4.0937882704630113e-8,4,9193,0.07243204116821289
192,-4.0,-0.5,0.0,-4.053160972441145e-8,4,6280,0.05032491683959961
193,-3.5,-0.5,0.0,-4.098963560051734e-8,4,3951,0.03323793411254883
194,-3.0,-0.5,0.0,-4.085374212967007e-8,4,2187,0.018208980560302734
195,-2.5,-0.5,0.0,-3.961152577823751e-8,4,1928,0.016202926635742188
196,-2.0,-0.5,0.0,-3.6229927017088255e-8,4,575,0.023834943771362305
197,-1.5,-0.5,0.0,-3.9546646404827e-8,4,217,0.0018200874328613281
198,-1.0,-0.5,0.0,-3.5680441696016526e-8,4,94,0.0008449554443359375
199,-0.5,-0.5,0.0,-3.906568974644753e-8,4,165,0.0013780593872070312
200,0.0,-0.5,0.0,-3.6887879748075184e-8,4,215,0.0017399787902832031
201,0.5,-0.5,0.0,-4.0026471339845704e-8,4,585,0.004562854766845703
202,1.0,-0.5,0.0,-4.099172027852547e-8,4,5427,0.04079604148864746
203,1.5,-0.5,0.0,-4.104135987464562e-8,4,11973,0.09085607528686523
204,2.0,-0.5,0.0,-4.1077649829333634e-8,4,37873,0.3096039295196533
205,2.5,-0.5,0.0,-4.112224508357019e-8,4,89776,0.6851761341094971
206,3.0,-0.5,0.0,-4.1356908358300755e-8,4,104069,0.8137869834899902
207,3.5,-0.5,0.0,-4.147915370799406e-8,4,118133,0.9320120811462402
